"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"24","T","AT&T Inc.","00206R10","2831811",0.00719531634185955,"Communication Services",74395900,"USD"
"25","INTC","Intel Corporation","45814010","2463247",0.0070229030108608,"Information Technology",44339440,"USD"
"26","MRK","Merck & Co. Inc.","58933Y10","2778844",0.00690394381293562,"Health Care",26397784,"USD"
"27","KO","Coca-Cola Company","19121610","2206657",0.00674851179493198,"Consumer Staples",40366228,"USD"
"28","WMT","Walmart Inc.","93114210","2936921",0.00671831946046068,"Consumer Staples",14498425,"USD"
"29","CRM","salesforce.com inc.","79466L30","2310525",0.00667519612616448,"Information Technology",9501908,"USD"
"30","PEP","PepsiCo Inc.","71344810","2681511",0.00659160966325916,"Consumer Staples",14458029,"USD"
"31","ABBV","AbbVie Inc.","00287Y10","B92SR70",0.00624162260225961,"Health Care",18425744,"USD"
"32","ABT","Abbott Laboratories","00282410","2002305",0.00620596984558846,"Health Care",18487334,"USD"
"33","CSCO","Cisco Systems Inc.","17275R10","2198163",0.00617395737038388,"Information Technology",44203796,"USD"
"34","XOM","Exxon Mobil Corporation","30231G10","2326618",0.00612328345227653,"Energy",44149824,"USD"
"35","TMO","Thermo Fisher Scientific Inc.","88355610","2886907",0.0061010317317735,"Health Care",4130159,"USD"
"36","CVX","Chevron Corporation","16676410","2838555",0.00591018697565696,"Energy",20090124,"USD"
"37","QCOM","Qualcomm Inc","74752510","2714923",0.00578254710654228,"Information Technology",11781123,"USD"
"38","NKE","NIKE Inc. Class B","65410610","2640147",0.00562346480629882,"Consumer Discretionary",12970130,"USD"
"39","COST","Costco Wholesale Corporation","22160K10","2701271",0.0054163987959549,"Consumer Staples",4610435,"USD"
"40","AVGO","Broadcom Inc.","11135F10","BDZ78H9",0.00540968827709759,"Information Technology",4186407,"USD"
"41","ACN","Accenture Plc Class A","G1151C10","B4BNMY3",0.00515346846618181,"Information Technology",6643202,"USD"
"42","MCD","McDonald's Corporation","58013510","2550707",0.00509402386992562,"Consumer Discretionary",7769806,"USD"
"43","MDT","Medtronic Plc","G5960L10","BTN1Y11",0.00498192520245665,"Health Care",14029621,"USD"
"44","HON","Honeywell International Inc.","43851610","2020459",0.00489513849210821,"Industrials",7328010,"USD"
"45","TXN","Texas Instruments Incorporated","88250810","2885409",0.00488252751702762,"Information Technology",9563690,"USD"
"46","NEE","NextEra Energy Inc.","65339F10","2328915",0.00472299518198747,"Utilities",20451616,"USD"
"47","DHR","Danaher Corporation","23585110","2250870",0.00463525839817935,"Health Care",6589557,"USD"
"48","UNP","Union Pacific Corporation","90781810","2914734",0.0045238997879316,"Industrials",7088286,"USD"
"49","BMY","Bristol-Myers Squibb Company","11012210","2126335",0.00446487522415233,"Health Care",23534694,"USD"
"50","AMGN","Amgen Inc.","03116210","2023607",0.00439732000078246,"Health Care",6115670,"USD"
"51","PM","Philip Morris International Inc.","71817210","B2PKRQ3",0.00435419666648625,"Consumer Staples",16260674,"USD"
"52","LIN","Linde plc","G5494J10","BZ12WP8",0.00433825543391015,"Materials",5485591,"USD"
"53","LLY","Eli Lilly and Company","53245710","2516152",0.00420585519672381,"Health Care",8289422,"USD"
"54","C","Citigroup Inc.","17296742","2297907",0.0041441304241644,"Financials",21735728,"USD"
"55","BA","Boeing Company","09702310","2108601",0.00409297646894058,"Industrials",5540152,"USD"
"56","SBUX","Starbucks Corporation","85524410","2842255",0.00405357342229701,"Consumer Discretionary",12204892,"USD"
"57","WFC","Wells Fargo & Company","94974610","2649100",0.00399807913147845,"Financials",43020212,"USD"
"58","LOW","Lowe's Companies Inc.","54866110","2536763",0.00398392803731585,"Consumer Discretionary",7890236,"USD"
"59","UPS","United Parcel Service Inc. Class B","91131210","2517382",0.00381660509990632,"Industrials",7373853,"USD"
"60","ORCL","Oracle Corporation","68389X10","2661568",0.0037838825698003,"Information Technology",20186576,"USD"
"61","RTX","Raytheon Technologies Corporation","75513E10","BM5M5Y3",0.00366874366726035,"Industrials",15951771,"USD"
"62","IBM","International Business Machines Corporation","45920010","2005973",0.00366183313293784,"Information Technology",9298721,"USD"
"63","AMD","Advanced Micro Devices Inc.","00790310","2007849",0.00354107379582589,"Information Technology",12258868,"USD"
